respondent_id,topic,original_answer,unclassified_text
22,purchase_channels,"Supermercados, Lojas online especializadas, Diretamente em vinícolas, Produtores locais",Produtores locais
77,purchase_channels,"Supermercados, Lojas físicas especializadas, Diretamente em vinícolas, Restaurantes e bares, De outros paises",De outros paises
105,purchase_channels,Casa,Casa
150,purchase_channels,"Supermercados, Lojas não especializadas no Paraguai, como Shopping China e Mapy, onde consigo comprar rótulos melhores com menor valor, e também com maior variedade.","Lojas não especializadas no Paraguai, como Shopping China e Mapy, onde consigo comprar rótulos melhores com menor valor, e também com maior variedade."
212,purchase_channels,"Supermercados, free shop",free shop
254,purchase_channels,"Supermercados, Feira do produtor",Feira do produtor
260,purchase_channels,"Supermercados, Lojas físicas especializadas, Lojas online especializadas, Diretamente em vinícolas, Restaurantes e bares, feiras",feiras
32,purchase_factors,"Variedade, shardonay",shardonay
125,purchase_factors,"Preço, Recomendação (amigos, especialistas, avaliações), Design e informação do rótulo, Promoções ou descontos, Quantidade de tanino, pois tenho enxaqueca e evito vinhos com muito tanino.","Quantidade de tanino, pois tenho enxaqueca e evito vinhos com muito tanino."
174,purchase_factors,"Preço, Região de origem, Variedade, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Design e informação do rótulo, Práticas sustentáveis e/ou impacto ambiental, Promoções ou descontos, Curiosidade ou interesse por novos produtos, Estação do ano e harmonização",Estação do ano e harmonização
230,purchase_factors,"Preço, Variedade, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Promoções ou descontos, harmonização",harmonização
